编号,厂家,名字,编码,类型,分类,药店,市场价,销售价
4889,,蒲公英颗粒,6907910000000 ,0,353,华联连锁药店,23,23
4888,,甲磺酸倍他司汀片 敏使郎,6924500000000 ,0,353,华联连锁药店,12,12
4887,修正药业集团有限公司,贞芪扶正颗粒每袋装15g*10袋（含糖型）,2017090000000 ,0,301,华联连锁药店,39.6,33
4886,深圳信立泰药业有限公司,硫酸氢氯吡格雷片25mg*20片,2017090000000 ,0,459,华联连锁药店,100.8,84
4885,鲁南贝特制药有限公司,单硝酸异山梨脂片20mg*48片,2017090000000 ,0,459,华联连锁药店,50.4,42
4884,Merck Sharp&Dohme LTD,磷酸西格列汀片100mg*14片,2017090000000 ,0,464,华联连锁药店,127.2,106
4883,曼秀雷敦中国药业,复方门冬维甘滴眼液13ml,2017090000000 ,0,301,华联连锁药店,22.2,18.5
4882,辉瑞制药,阿奇霉素干混悬剂,2017090000000 ,0,9,华联连锁药店,46.8,39
4881,天津武田药品,伏格列波糖片0.2mg*30片,2017090000000 ,0,464,华联连锁药店,56.4,47
4880,正大天晴,甘利欣甘草酸二铵胶囊24粒/盒,6922100000000 ,0,457,华联连锁药店,18.6,15.5
4879,上海信谊药厂有限公司,雷贝拉唑钠肠溶片10mg*14片,2017090000000 ,0,2,华联连锁药店,58.8,49
4878,桂林华润天和药业有限公司,骨通贴膏8cm*13cm*10贴,2017090000000 ,0,2,华联连锁药店,85.2,71
4877,华润双鹤药业股份有限公司,复方利血平氨苯蝶啶片禁退30片,2017090000000 ,0,459,华联连锁药店,46.8,39
4876,中美天津史克制药有限公司,阿苯达唑片（码）0.2g*10片,2017090000000 ,0,457,华联连锁药店,18,15
4874,华润赛科药业有限责任公司,苯磺酸氨氯地平片5mg*20片,2017090000000 ,0,459,华联连锁药店,33.6,28
4847,成都恒瑞制药有限公司,格列齐特缓释片30mg*30s,2017090000000 ,0,465,华联连锁药店,24,20
4846,云南白药,云南白药膏8片*6.5cm*10cm,2017090000000 ,0,2,华联连锁药店,48,40
4845,福寿堂制药有限公司,健胃消食片0.5g*30片,2017090000000 ,0,3,华联连锁药店,21.6,18
4844,美国,人血白蛋白,2017090000000 ,0,455,华联连锁药店,540,450
4842,山东一笑堂阿胶集团百年制药有限公司,一笑堂阿胶250g,2017090000000 ,0,501,华联连锁药店,1051.2,876
4836,湖北潜江制药股份有限公司,珍珠明目滴眼液 10ml*2支/盒,2017080000000 ,0,251,华联连锁药店,38.4,32
4835,上海雷允上药业有限公司,丹参片 100片,2017080000000 ,0,459,华联连锁药店,24,20
4834,黑龙江葵花药业股份有限公司,葵花胃康灵颗粒 4g*10袋,2017080000000 ,0,3,华联连锁药店,54,45
4833,上海勃林格殷格翰药业有限公司,替米沙坦片 80mg*7片,2017080000000 ,0,459,华联连锁药店,45,37.5
4832,辉瑞制药有限公司,格列吡嗪控释片(禁退) 5mg*14片,2017080000000 ,0,465,华联连锁药店,38.4,32
4831,江苏豪森药业集团有限公司,瑞格列奈片 0.5mg*60片,2017080000000 ,0,465,华联连锁药店,39.6,33
4830,云南白药集团股份有限公司,伤风停胶囊 0.35g*12粒*2板,2017080000000 ,0,1,华联连锁药店,30,25
4829,江苏恩华药业集团有限责任公司,非诺贝特片(码) 0.1g*100片,2017080000000 ,0,459,华联连锁药店,10.2,8.5
4828,云南白药集团股份有限公司,丹溪玉屏风颗粒 15克*6袋,2017080000000 ,0,502,华联连锁药店,38.4,32
4827,天方药业有限公司,阿托伐他汀钙胶囊 10mg*7粒*2板/盒,2017080000000 ,0,459,华联连锁药店,58.2,48.5
4826,京都念慈_总厂有限公司,京都念慈_蜜炼川贝枇杷膏 300ml,2017080000000 ,0,10,华联连锁药店,59.76,49.8
4825,云南白药集团股份有限公司,小儿解表颗粒 袋装4克*10袋,2017080000000 ,0,26,华联连锁药店,38.4,32
4824,云南白药集团股份有限公司,板蓝根颗粒 10g/袋*20袋,2017080000000 ,0,9,华联连锁药店,24,20
4823,上海强生制药有限公司,酚麻美敏片(码) 20片,2017080000000 ,0,9,华联连锁药店,29.76,24.8
4818,天津武田药品有限公司,必洛斯*坎地沙坦酯片8mg*7片,2017080000000 ,0,459,华联连锁药店,42,35
4811,青岛伦敦杜雷斯有限公司,杜蕾斯避孕套（大胆爱吧)10只,6923150000000 ,0,312,华联连锁药店,29.88,24.9
4810,青岛伦敦杜蕾斯有限公司,杜蕾斯（至薄幻隐装）6只,6923150000000 ,0,312,华联连锁药店,94.8,79
4809,欧姆龙（大连）有限公司,欧姆龙电子血压计HEM-7117,6927840000000 ,0,451,华联连锁药店,525.6,438
4808,欧姆龙（大连）有限公司,欧姆龙电子血压计HEM-7117,2017080000000 ,0,451,华联连锁药店,525.6,438
4807,京都念慈_总厂有限公司,蜜炼川贝枇杷膏300ml,2017080000000 ,0,10,华联连锁药店,49.2,41.5
4806,杭州胡庆余堂药业有限公司,安宫牛黄丸(码)3G,2017080000000 ,0,461,华联连锁药店,123.6,103
4805,华润三九医药股份有限公司,999皮炎平乳膏30克,2017080000000 ,0,31,华联连锁药店,16.2,13.5
4804,宁波立华制药有限公司,白芍总苷胶囊(帕夫林)0.3g*12粒*5板,2017080000000 ,0,460,华联连锁药店,84,70
4803,广州白云山医药集团股份有限公司白云山制药总厂,金戈50mg3片,2017080000000 ,0,465,华联连锁药店,159.6,133
4802,山东新华制药股份有限公司,2#雷贝拉唑钠肠溶片10mg*8s,6921680000000 ,0,457,华联连锁药店,45.6,38
4801,东北制药集团沈阳第一制药有限公司,盐酸小檗碱片(码）0.1g*100s,2017080000000 ,0,23,华联连锁药店,8.4,7
4757,河北御芝林药业有限公司,变通牌天天胶囊0.4g/粒*60粒/瓶*2瓶/盒,2017080000000 ,0,502,华联连锁药店,357.6,298
